AtomNum_E,Weight_E,HOMO_E,HOMO_number_E,LUMO_E,HOMO_LUMO_Gap_E,ODI_HOMO_1_E,ODI_HOMO_E,ODI_LUMO_E,ODI_LUMO_Add1_E,ODI_Mean_E,ODI_Std_E,Farthest_Distance_E,Mol_Radius_E,Mol_Size_Short_E,Mol_Size_2_E,Mol_Size_L_E,Length_Ratio_E,Len_Div_Diameter_E,MPP_E,SDP_E,Dipole_Moment_E,Quadrupole_Moment_E,Octopole_Moment_E,Volume_E,Density_E,ESPmin_E,ESPmax_E,Overall_Surface_Area_E,Pos_Surface_Area_E,Neg_Surface_Area_E,Overall_Average_E,Pos_Average_E,Neg_Average_E,Overall_Variance_E,Nu_E,Pi_E,MPI_E,Nonpolar_Area_E,Polar_Area_E,ALIEmin_E,ALIEmax_E,ALIE_Ave_E,ALIE_Var_E,LEAmin_E,LEAmax_E,LEA_Ave_E,LEA_Var_E,Vertical IP_E,Vertical EA_E,Mulliken electronegativity_E,Chemical potential_E,Hardness_E,Softness_E,Electrophilicity index_E,Nucleophilicity index_E,qN_E,qN+1_E,qN-1_E,f-_E,f+_E,f0_E,CDD_E,AtomNum_Nu,Weight_Nu,HOMO_Nu,HOMO_number_Nu,LUMO_Nu,HOMO_LUMO_Gap_Nu,ODI_HOMO_1_Nu,ODI_HOMO_Nu,ODI_LUMO_Nu,ODI_LUMO_Add1_Nu,ODI_Mean_Nu,ODI_Std_Nu,Farthest_Distance_Nu,Mol_Radius_Nu,Mol_Size_Short_Nu,Mol_Size_2_Nu,Mol_Size_L_Nu,Length_Ratio_Nu,Len_Div_Diameter_Nu,MPP_Nu,SDP_Nu,Dipole_Moment_Nu,Quadrupole_Moment_Nu,Octopole_Moment_Nu,Volume_Nu,Density_Nu,ESPmin_Nu,ESPmax_Nu,Overall_Surface_Area_Nu,Pos_Surface_Area_Nu,Neg_Surface_Area_Nu,Overall_Average_Nu,Pos_Average_Nu,Neg_Average_Nu,Overall_Variance_Nu,Nu_Nu,Pi_Nu,MPI_Nu,Nonpolar_Area_Nu,Polar_Area_Nu,ALIEmin_Nu,ALIEmax_Nu,ALIE_Ave_Nu,ALIE_Var_Nu,LEAmin_Nu,LEAmax_Nu,LEA_Ave_Nu,LEA_Var_Nu,Vertical IP_Nu,Vertical EA_Nu,Mulliken electronegativity_Nu,Chemical potential_Nu,Hardness_Nu,Softness_Nu,Electrophilicity index_Nu,Nucleophilicity index_Nu,qN_Nu,qN+1_Nu,qN-1_Nu,f-_Nu,f+_Nu,f0_Nu,CDD_Nu
21,229.07043,-0.25822,57,-0.06238,0.195841,17.67,17.98,10.48,14.23,15.09,3.041389485,13,6.51,4.942,6.883,12.969,0.523070098,0.996082949,0.628575,2.56845,2.902578,14.59804,203.5715,1537.69111,1.6693,-36.69728,23.79958,802.52636,447.08423,355.44213,0.00266447,0.01590445,-0.01398913,0.00031674,0.21909986,0.01487845,0.40969863,63.85,36.15,8.88308,14.40432,0.40776335,0.00192471,-37.00718,-16.28742,-0.9054381,0.014762,0.25738,0.06814,0.16276,-0.16276,0.18924,5.284285,0.069993,0.076978,-0.0515,-0.1538,0.1983,0.2497,0.1024,0.176,-0.1473,30,160.32023,-0.235256,45,-0.003099,0.232157,7.88,60.96,13.55,7.43,22.455,22.36132431,28,6.296,5.906,7.213,12.438,0.48667684,0.987770013,0.872933,3.111328,2.387595,9.334923,121.2988,1738.01652,1.0337,-25.87428,21.70207,895.58724,596.09267,299.49457,0.00331537,0.01046326,-0.01091129,0.00020023,0.22107099,0.00995152,0.2887968,74.35,25.65,7.12409,13.31696,0.39816494,0.00145746,-33.91682,-15.03448,-0.864372,0.010226,0.240126,0.0246,0.132363,-0.132363,0.215526,4.639804,0.040645,0.099942,-0.1072,-0.4034,0.4408,0.5481,0.2961,0.4221,-0.2519
14,172.02229,-0.210095,42,-0.022474,0.187621,18.13,13.83,13.88,31.92,19.44,7.4137069,9,4.829,3.7,6.692,9.599,0.480166075,0.993891075,0.080315,0.310309,4.912849,13.729942,133.6072,1099.36126,1.7534,-20.69956,48.96492,591.68,255.92439,335.7556,0.00183484,0.02958947,-0.01932069,0.00050195,0.12557745,0.0240414,0.64660598,31.37,68.63,7.86672,15.4698,0.38914019,0.00338668,-35.46745,-16.05719,-0.8974431,0.016587,0.204439,0.033259,0.118849,-0.118849,0.17118,5.841791,0.041258,0.125103,-0.0904,-0.1671,0.0459,0.1363,0.0766,0.1065,-0.0597,30,160.32023,-0.235256,45,-0.003099,0.232157,7.88,60.96,13.55,7.43,22.455,22.36132431,28,6.296,5.906,7.213,12.438,0.48667684,0.987770013,0.872933,3.111328,2.387595,9.334923,121.2988,1738.01652,1.0337,-25.87428,21.70207,895.58724,596.09267,299.49457,0.00331537,0.01046326,-0.01091129,0.00020023,0.22107099,0.00995152,0.2887968,74.35,25.65,7.12409,13.31696,0.39816494,0.00145746,-33.91682,-15.03448,-0.864372,0.010226,0.240126,0.0246,0.132363,-0.132363,0.215526,4.639804,0.040645,0.099942,-0.1072,-0.4034,0.4408,0.5481,0.2961,0.4221,-0.2519
11,157.99567,-0.261654,38,-0.047965,0.213689,34.01,20.47,15.44,14.49,21.1025,7.790902948,11,4.372,3.7,6.699,8.742,0.45671595,0.999771272,9.00E-06,3.40E-05,3.063786,10.823762,73.8962,945.90917,1.8717,-37.43121,31.61693,523.21182,286.4379,236.77393,0.00371016,0.01955214,-0.01545472,0.00045746,0.24988377,0.01771016,0.48158428,60.48,39.52,8.33588,14.62624,0.39480677,0.00241187,-34.8772,-16.7384,-0.8897219,0.015337,0.260975,0.05657,0.158773,-0.158773,0.204405,4.892251,0.061664,0.073544,-0.0485,-0.1412,0.2068,0.2553,0.0927,0.174,-0.1626,30,160.32023,-0.235256,45,-0.003099,0.232157,7.88,60.96,13.55,7.43,22.455,22.36132431,28,6.296,5.906,7.213,12.438,0.48667684,0.987770013,0.872933,3.111328,2.387595,9.334923,121.2988,1738.01652,1.0337,-25.87428,21.70207,895.58724,596.09267,299.49457,0.00331537,0.01046326,-0.01091129,0.00020023,0.22107099,0.00995152,0.2887968,74.35,25.65,7.12409,13.31696,0.39816494,0.00145746,-33.91682,-15.03448,-0.864372,0.010226,0.240126,0.0246,0.132363,-0.132363,0.215526,4.639804,0.040645,0.099942,-0.1072,-0.4034,0.4408,0.5481,0.2961,0.4221,-0.2519
10,158.9837,-0.273848,38,-0.064834,0.209014,26.68,23.68,16.95,15.84,20.7875,4.535754485,10,4.342,3.7,6.702,8.684,0.454993189,1,2.00E-06,8.00E-06,1.145891,1.381405,64.9664,905.18287,1.9682,-29.37675,26.77993,507.3976,339.18827,168.20932,0.0053061,0.01646794,-0.01720138,0.00034548,0.22012129,0.01561175,0.45473185,50.52,49.48,8.7097,14.03015,0.40076007,0.00240981,-35.72252,-16.87061,-0.9128059,0.019425,0.271399,0.071908,0.171653,-0.171653,0.199491,5.012764,0.07385,0.06135,-0.0233,-0.1141,0.089,0.1123,0.0908,0.1015,-0.0215,30,160.32023,-0.235256,45,-0.003099,0.232157,7.88,60.96,13.55,7.43,22.455,22.36132431,28,6.296,5.906,7.213,12.438,0.48667684,0.987770013,0.872933,3.111328,2.387595,9.334923,121.2988,1738.01652,1.0337,-25.87428,21.70207,895.58724,596.09267,299.49457,0.00331537,0.01046326,-0.01091129,0.00020023,0.22107099,0.00995152,0.2887968,74.35,25.65,7.12409,13.31696,0.39816494,0.00145746,-33.91682,-15.03448,-0.864372,0.010226,0.240126,0.0246,0.132363,-0.132363,0.215526,4.639804,0.040645,0.099942,-0.1072,-0.4034,0.4408,0.5481,0.2961,0.4221,-0.2519
8,164.02311,-0.25581,39,-0.049176,0.206635,31.63,17.85,18.52,35.81,25.9525,7.910386764,8,4.176,3.7,6.229,8.331,0.456243154,0.997485632,0.000455,0.001335,3.439519,10.489032,47.6489,881.34816,2.0855,-37.33604,38.30039,494.09837,276.24914,217.84923,0.00243673,0.01908793,-0.01867824,0.00050786,0.24871974,0.01876416,0.51449379,55.7,44.3,8.93993,14.93408,0.39146239,0.00209564,-35.53973,-17.13196,-0.8630998,0.017935,0.255489,0.053704,0.154596,-0.154596,0.201785,4.955773,0.059221,0.079388,-0.0207,-0.1786,0.1907,0.2114,0.1579,0.1847,-0.0535,30,160.32023,-0.235256,45,-0.003099,0.232157,7.88,60.96,13.55,7.43,22.455,22.36132431,28,6.296,5.906,7.213,12.438,0.48667684,0.987770013,0.872933,3.111328,2.387595,9.334923,121.2988,1738.01652,1.0337,-25.87428,21.70207,895.58724,596.09267,299.49457,0.00331537,0.01046326,-0.01091129,0.00020023,0.22107099,0.00995152,0.2887968,74.35,25.65,7.12409,13.31696,0.39816494,0.00145746,-33.91682,-15.03448,-0.864372,0.010226,0.240126,0.0246,0.132363,-0.132363,0.215526,4.639804,0.040645,0.099942,-0.1072,-0.4034,0.4408,0.5481,0.2961,0.4221,-0.2519
21,229.07043,-0.25822,57,-0.06238,0.195841,17.67,17.98,10.48,14.23,15.09,3.041389485,13,6.51,4.942,6.883,12.969,0.523070098,0.996082949,0.628575,2.56845,2.902578,14.59804,203.5715,1537.69111,1.6693,-36.69728,23.79958,802.52636,447.08423,355.44213,0.00266447,0.01590445,-0.01398913,0.00031674,0.21909986,0.01487845,0.40969863,63.85,36.15,8.88308,14.40432,0.40776335,0.00192471,-37.00718,-16.28742,-0.9054381,0.014762,0.25738,0.06814,0.16276,-0.16276,0.18924,5.284285,0.069993,0.076978,-0.0515,-0.1538,0.1983,0.2497,0.1024,0.176,-0.1473,12,106.14345,-0.24956,28,-0.011819,0.237741,46.68,68.16,17.46,13.69,36.4975,22.29801378,12,4.262,4.894,5.719,8.863,0.45507291,1.039770061,0.539685,1.945537,3.490005,5.179949,83.407,888.83487,1.3382,-36.55947,26.82037,513.84208,304.6501,209.19198,0.00322082,0.02274695,-0.02521544,0.00036946,0.206762,0.02324321,0.64632229,29.12,70.88,7.49114,14.81409,0.41620854,0.00316733,-37.4892,-14.35171,-0.8917796,0.023056,0.257824,0.029983,0.143903,-0.143903,0.227842,4.389015,0.045444,0.085638,-0.0939,-0.368,0.5157,0.6096,0.2741,0.4419,-0.3355
11,157.99567,-0.261654,38,-0.047965,0.213689,34.01,20.47,15.44,14.49,21.1025,7.790902948,11,4.372,3.7,6.699,8.742,0.45671595,0.999771272,9.00E-06,3.40E-05,3.063786,10.823762,73.8962,945.90917,1.8717,-37.43121,31.61693,523.21182,286.4379,236.77393,0.00371016,0.01955214,-0.01545472,0.00045746,0.24988377,0.01771016,0.48158428,60.48,39.52,8.33588,14.62624,0.39480677,0.00241187,-34.8772,-16.7384,-0.8897219,0.015337,0.260975,0.05657,0.158773,-0.158773,0.204405,4.892251,0.061664,0.073544,-0.0485,-0.1412,0.2068,0.2553,0.0927,0.174,-0.1626,12,106.14345,-0.24956,28,-0.011819,0.237741,46.68,68.16,17.46,13.69,36.4975,22.29801378,12,4.262,4.894,5.719,8.863,0.45507291,1.039770061,0.539685,1.945537,3.490005,5.179949,83.407,888.83487,1.3382,-36.55947,26.82037,513.84208,304.6501,209.19198,0.00322082,0.02274695,-0.02521544,0.00036946,0.206762,0.02324321,0.64632229,29.12,70.88,7.49114,14.81409,0.41620854,0.00316733,-37.4892,-14.35171,-0.8917796,0.023056,0.257824,0.029983,0.143903,-0.143903,0.227842,4.389015,0.045444,0.085638,-0.0939,-0.368,0.5157,0.6096,0.2741,0.4419,-0.3355
10,158.9837,-0.273848,38,-0.064834,0.209014,26.68,23.68,16.95,15.84,20.7875,4.535754485,10,4.342,3.7,6.702,8.684,0.454993189,1,2.00E-06,8.00E-06,1.145891,1.381405,64.9664,905.18287,1.9682,-29.37675,26.77993,507.3976,339.18827,168.20932,0.0053061,0.01646794,-0.01720138,0.00034548,0.22012129,0.01561175,0.45473185,50.52,49.48,8.7097,14.03015,0.40076007,0.00240981,-35.72252,-16.87061,-0.9128059,0.019425,0.271399,0.071908,0.171653,-0.171653,0.199491,5.012764,0.07385,0.06135,-0.0233,-0.1141,0.089,0.1123,0.0908,0.1015,-0.0215,12,106.14345,-0.24956,28,-0.011819,0.237741,46.68,68.16,17.46,13.69,36.4975,22.29801378,12,4.262,4.894,5.719,8.863,0.45507291,1.039770061,0.539685,1.945537,3.490005,5.179949,83.407,888.83487,1.3382,-36.55947,26.82037,513.84208,304.6501,209.19198,0.00322082,0.02274695,-0.02521544,0.00036946,0.206762,0.02324321,0.64632229,29.12,70.88,7.49114,14.81409,0.41620854,0.00316733,-37.4892,-14.35171,-0.8917796,0.023056,0.257824,0.029983,0.143903,-0.143903,0.227842,4.389015,0.045444,0.085638,-0.0939,-0.368,0.5157,0.6096,0.2741,0.4419,-0.3355
21,229.07043,-0.25822,57,-0.06238,0.195841,17.67,17.98,10.48,14.23,15.09,3.041389485,13,6.51,4.942,6.883,12.969,0.523070098,0.996082949,0.628575,2.56845,2.902578,14.59804,203.5715,1537.69111,1.6693,-36.69728,23.79958,802.52636,447.08423,355.44213,0.00266447,0.01590445,-0.01398913,0.00031674,0.21909986,0.01487845,0.40969863,63.85,36.15,8.88308,14.40432,0.40776335,0.00192471,-37.00718,-16.28742,-0.9054381,0.014762,0.25738,0.06814,0.16276,-0.16276,0.18924,5.284285,0.069993,0.076978,-0.0515,-0.1538,0.1983,0.2497,0.1024,0.176,-0.1473,19,116.22449,-0.235665,32,-0.005259,0.230406,8.73,62.12,8.9,27.41,26.79,21.76470193,15,3.942,5.56,6.753,7.648,0.383147137,0.970065956,0.90511,3.127539,2.522303,5.450348,36.7371,1142.98552,1.1395,-26.4512,21.23398,587.15406,401.4007,185.75336,0.00383869,0.01305854,-0.0160848,0.00024531,0.18730679,0.01295295,0.38139295,61.95,38.05,7.13412,12.96192,0.39533104,0.00198498,-32.44223,-15.8019,-0.8691735,0.013066,0.240259,0.024205,0.132232,-0.132232,0.216054,4.628482,0.040465,0.099533,-0.1141,-0.3738,0.4321,0.5462,0.2597,0.4029,-0.2865
11,157.99567,-0.261654,38,-0.047965,0.213689,34.01,20.47,15.44,14.49,21.1025,7.790902948,11,4.372,3.7,6.699,8.742,0.45671595,0.999771272,9.00E-06,3.40E-05,3.063786,10.823762,73.8962,945.90917,1.8717,-37.43121,31.61693,523.21182,286.4379,236.77393,0.00371016,0.01955214,-0.01545472,0.00045746,0.24988377,0.01771016,0.48158428,60.48,39.52,8.33588,14.62624,0.39480677,0.00241187,-34.8772,-16.7384,-0.8897219,0.015337,0.260975,0.05657,0.158773,-0.158773,0.204405,4.892251,0.061664,0.073544,-0.0485,-0.1412,0.2068,0.2553,0.0927,0.174,-0.1626,19,116.22449,-0.235665,32,-0.005259,0.230406,8.73,62.12,8.9,27.41,26.79,21.76470193,15,3.942,5.56,6.753,7.648,0.383147137,0.970065956,0.90511,3.127539,2.522303,5.450348,36.7371,1142.98552,1.1395,-26.4512,21.23398,587.15406,401.4007,185.75336,0.00383869,0.01305854,-0.0160848,0.00024531,0.18730679,0.01295295,0.38139295,61.95,38.05,7.13412,12.96192,0.39533104,0.00198498,-32.44223,-15.8019,-0.8691735,0.013066,0.240259,0.024205,0.132232,-0.132232,0.216054,4.628482,0.040465,0.099533,-0.1141,-0.3738,0.4321,0.5462,0.2597,0.4029,-0.2865
