Reaction,Nu,E,Solvent,Yield Classification(1:>67%),Additive_Class
1,S-2,EAr-1,DMA,1,GI
2,S-2,EAr-24,DMA,1,GI
3,S-2,EHet-1,DMA,1,GI
4,S-2,EHet-13,DMA,1,GI
5,S-2,EHet-22,DMA,1,GI
6,S-3,EAr-1,DMA,1,GI
7,S-3,EHet-1,DMA,1,GI
8,S-3,EHet-13,DMA,0,GI
9,S-11,EAr-1,DMA,1,GI
10,S-11,EHet-1,DMA,1,GI
11,S-11,EHet-13,DMA,0,GI
12,S-11,EHet-22,DMA,0,GI
13,S-12,EAr-1,DMA,0,GI
14,S-12,EHet-1,DMA,1,GI
15,S-12,EHet-13,DMA,0,GI
16,S-14,EAr-1,DMA,1,GI
17,S-14,EHet-1,DMA,1,GI
18,S-14,EHet-13,DMA,0,GI
19,S-18,EAr-1,DMA,1,GI
20,S-18,EAr-3,DMA,1,GI
21,S-18,EAr-6,DMA,1,GI
22,S-18,EAr-26,DMA,0,GI
23,S-18,EHet-1,DMA,1,GI
24,S-18,EHet-13,DMA,0,GI
25,S-18,EHet-20,DMA,1,GI
26,N-1,EAr-3,DMA,0,GI
27,N-2,EAr-3,DMA,1,GI
28,N-9,EAr-1,DMA,1,GI
29,N-9,EHet-1,DMA,1,GI
30,N-9,EHet-13,DMA,1,GI
31,N-17,EAr-1,DMA,1,GII
32,N-17,EHet-1,DMA,0,GII
33,N-17,EHet-13,DMA,1,GII
34,N-22,EAr-1,DMA,1,GII
35,N-20,EAr-1,DMA,1,GII
36,N-21,EAr-1,DMA,1,GII
37,N-21,EHet-1,DMA,0,GII
38,N-21,EHet-13,DMA,1,GII
39,N-10,EAr-1,DMA,1,GII
40,N-11,EAr-1,DMA,1,GII
41,N-12,EAr-1,DMA,0,GII
42,N-13,EAr-1,DMA,1,GII
43,N-14,EAr-1,DMA,1,GII
44,N-18,EAr-1,DMA,0,GII
45,N-19,EAr-1,DMA,1,GII
46,N-23,EAr-1,DMA,1,GII
47,N-24,EAr-1,DMA,1,GII
48,N-25,EAr-1,DMA,1,GII
49,N-26,EAr-1,DMA,1,GII
50,N-27,EAr-1,DMA,1,GII
51,N-29,EAr-1,DMA,1,GII
52,N-30,EAr-1,DMA,1,GII
53,N-31,EAr-1,DMA,0,GII
54,N-33,EAr-1,DMA,1,GI
55,N-3,EAr-1,DMA,1,GII
56,N-5,EAr-1,DMA,1,GII
57,N-5,EHet-1,DMA,1,GII
58,N-5,EHet-13,DMA,1,GII
59,N-6,EAr-1,DMA,1,GII
60,N-6,EHet-1,DMA,1,GII
61,N-7,EAr-1,DMA,1,GII
62,N-7,EHet-1,DMA,1,GII
63,N-7,EHet-13,DMA,1,GII
64,N-102,EAr-1,DMA,1,GII
65,N-102,EHet-1,DMA,1,GII
66,N-102,EHet-13,DMA,1,GII
67,N-103,EAr-3,DMA,0,GII
68,N-103,EAr-1,DMA,0,GII
69,N-104,EAr-3,DMA,1,GII
70,N-104,EAr-1,DMA,1,GII
71,N-113,EAr-1,DMA,1,GII'
72,N-113,EHet-13,DMA,1,GII'
73,N-39,EAr-1,DMA,1,GII'
74,N-40,EAr-1,DMA,1,GII'
75,N-40,EHet-1,DMA,1,GII'
76,N-40,EHet-13,DMA,1,GII'
77,N-41,EAr-1,DMA,1,GIII
78,N-75,EAr-1,DMA,0,GII'
79,N-75,EHet-1,DMA,1,GII'
80,N-75,EHet-13,DMA,1,GII'
81,N-42,EAr-2,DMA,1,GIII
82,N-43,EAr-1,DMA,1,GIV
83,N-43,EHet-1,DMA,1,GIV
84,N-43,EHet-13,DMA,1,GIV
85,N-107,EAr-1,DMA,1,GIV
86,N-78,EAr-1,ACN,1,GIV
87,N-78,EHet-1,ACN,1,GIV
88,N-78,EHet-13,ACN,0,GIV
89,N-83,EAr-1,ACN,1,GIV
90,N-85,EAr-1,DMA,0,GIII
91,N-89,EAr-2,ACN,1,GIV
92,N-88,EAr-1,DMA,0,GIV
93,N-87,EAr-1,ACN,1,GIV
94,N-86,EAr-1,ACN,0,GIV
95,N-99,EAr-1,ACN,1,GIV
96,N-99,EHet-1,ACN,1,GIV
97,N-91,EAr-1,ACN,1,GIV
98,N-92,EAr-1,ACN,1,GIV
99,N-92,EHet-1,ACN,0,GIV
100,N-92,EHet-13,ACN,0,GIV
101,N-94,EAr-1,ACN,1,GIV
102,N-96,EAr-1,ACN,0,GIV
103,N-97,EAr-1,ACN,1,GIV
104,N-98,EAr-1,ACN,0,GIV
105,N-110,EAr-1,DMF,1,GIV
106,N-110,EHet-1,DMF,0,GIV
107,N-110,EHet-13,DMF,0,GIV
108,N-112,EAr-1,DMF,1,GIV
109,N-112,EAr-3,DMA,1,GIV
110,P-3,EAr-3,DMA,1,GII
111,P-3,EAr-4,DMA,1,GII
112,P-3,EHet-1,DMA,1,GII
113,P-1,EAr-3,DMA,1,GI
114,P-1,EHet-1,DMA,1,GI
115,P-2,EAr-3,DMA,1,GI
116,P-2,EHet-1,DMA,1,GI
117,P-2,EHet-13,DMA,1,GI
118,P-4,EAr-3,DMA,1,GIII
119,P-4,EHet-1,DMA,1,GIII
120,P-4,EHet-13,DMA,1,GIII
121,P-5,EAr-3,DMA,1,GIII
122,P-5,EHet-1,DMA,1,GIII
123,P-5,EHet-13,DMA,1,GIII
124,O-1,EAr-1,DMA,1,GII'
125,O-11,EAr-1,DMA,0,GII'
126,O-13,EAr-1,DMA,1,GII'
127,O-14,EAr-1,ACN,0,GIV
128,O-2,EAr-1,ACN,1,GIV
129,O-3,EAr-1,ACN,0,GIV
130,O-7,EAr-1,ACN,0,GIV
131,O-8,EAr-1,ACN,1,GIV
132,Si-1,EAr-3,DMA,0,GIV
133,C-1,EAr-1,DMA,1,GIV
134,C-2,EAr-3,DMA,0,GIV
135,Se-1,EHet-1,DMA,1,GI
136,B-1,EAr-3,DMA,0,GIII
137,AS-1,EAr-1,DMA,1,GII'
138,AS-1,EHet-1,DMA,1,GII'
139,AS-1,EHet-13,DMA,1,GII'
140,AS-2,EAr-1,DMA,1,GII'
141,AS-2,EHet-1,DMA,1,GII'
142,AS-2,EHet-13,DMA,1,GII'
143,ACl-1,EAr-1,DMA,0,GII'
144,ACl-1,EAr-3,DMA,0,GII'
145,S-4,EAr-3,DMA,1,GI
146,S-4,EAr-24,DMA,1,GI
147,S-5,EAr-3,DMA,1,GI
148,S-4,EAr-1,DMA,1,GI
149,S-4,EAr-4,DMA,1,GI
150,S-4,EAr-6,DMA,1,GI
151,S-4,EAr-26,DMA,1,GI
152,S-4,EAr-17,DMA,1,GI
153,S-4,EAr-15,DMA,1,GI
154,S-4,EAr-76,DMA,0,GI
155,S-4,EHet-1,DMA,1,GI
156,S-4,EHet-13,DMA,0,GI
157,S-4,EHet-20,DMA,0,GI
158,S-4,EHet-19,DMA,0,GI
159,AN-2,EAr-1,DMA,1,GII
160,AN-2,EAr-28,DMA,1,GII'
161,AN-2,EAr-34,DMA,0,GII
162,AN-2,EAr-3,DMA,1,GII
163,AN-2,EAr-4,DMA,1,GII
164,AN-2,EAr-5,DMA,1,GII
165,AN-2,EAr-73,DMA,0,GII'
166,AN-2,EAr-75,DMA,0,GII'
167,AN-2,EHet-1,DMA,1,GII
168,AN-2,EHet-13,DMA,1,GII
169,AN-1,EAr-1,DMSO,1,GII'
170,AN-1,EAr-4,DMSO,1,GII'
171,AN-1,EAr-20,DMSO,0,GII'
172,AN-1,EHet-1,DMSO,0,GII'
173,AN-1,EHet-13,DMSO,0,GII'
174,AN-1,EHet-10,DMSO,0,GII'
175,N-115,EAr-1,DMSO,0,GIV
176,N-116,EAr-1,DMSO,0,GIV
177,N-117,EAr-1,DMA,0,GIV
178,N-118,EAr-1,DMSO,0,GIV
179,N-115,EAr-37,DMA,0,GIV
180,N-115,EHet-1,DMSO,0,GIV
181,N-115,EHet-13,DMSO,0,GIV
182,S-6,EAr-1,DMA,1,GI
183,S-6,EHet-1,DMA,1,GI
184,S-6,EHet-13,DMA,0,GI
185,S-7,EAr-1,DMA,0,GI
186,S-10,EAr-1,DMA,0,GI
187,N-8,EAr-8,DMA,1,GII
188,N-15,EAr-1,DMA,0,GII
189,N-15,EAr-16,DMA,0,GII
190,N-16,EAr-1,DMA,0,GII
191,N-68,EAr-1,DMA,0,GIII
192,N-74,EAr-1,DMA,0,GIII
193,N-73,EAr-1,DMA,0,GIV
194,N-77,EAr-1,DMA,0,GIII
195,N-106,EAr-1,DMA,1,GII
196,N-111,EAr-1,DMA,0,GIV
197,N-81,EAr-1,DMA,1,GIV
198,N-90,EAr-1,DMA,0,GIV
199,O-6,EAr-1,DMA,1,GIV
200,O-12,EAr-1,DMA,0,GIV
201,O-1,EAr-26,DMA,1,GII'
202,AN-2,EHet-Cl-3,DMA,1,GII'
203,AN-2,EAr-Cl-3,DMA,1,GII'
204,AN-2,EAr-Cl-5,DMA,1,GII'
205,AN-2,EAr-Cl-4,DMA,1,GII'
206,AN-2,EAr-Cl-8,DMA,0,GII'
207,AN-2,EAr-Cl-7,DMA,1,GII'
208,AN-2,EAr-Cl-6,DMA,0,GII'
209,S-4,EHet-Cl-2,DMA,0,GII'
210,N-41,EHet-Cl-3,DMA,1,GII'
211,N-41,EAr-Cl-3,DMA,1,GII'
212,N-41,EAr-Cl-5,DMA,0,GII'
213,N-41,EAr-Cl-4,DMA,1,GII'
214,N-41,EAr-Cl-8,DMA,0,GII'
215,N-41,EAr-Cl-7,DMA,1,GII'
216,N-41,EAr-Cl-6,DMA,0,GII'
217,N-41,EHet-Cl-2,DMA,0,GII'
218,N-107,EHet-Cl-3,DMA,1,GIV
219,N-103,EAr-Cl-3,DMA,0,GIV
220,N-103,EAr-Cl-5,DMA,1,GIV
221,N-107,EAr-Cl-4,DMA,0,GIII
222,N-103,EAr-Cl-8,DMA,0,GIV
223,N-103,EAr-Cl-7,DMA,0,GIV
224,N-103,EAr-Cl-6,DMA,0,GIV
225,P-2,EHet-Cl-2,DMA,0,GI
