Mol,SMILES
EAr-1,CCOC(=O)C1=CC=C(Br)C=C1
EAr-2,COC(=O)C1=CC=C(Br)C=C1
EAr-3,N#CC1=CC=C(Br)C=C1
EAr-4,CC(=O)C1=CC=C(Br)C=C1
EAr-5,O=CC1=CC=C(Br)C=C1
EAr-6,O=C(O)C1=CC=C(Br)C=C1
EAr-7,NC(=O)C1=CC=C(Br)C=C1
EAr-8,CN(C)CCOC(=O)C1=CC=C(Br)C=C1
EAr-9,FC(F)(F)C1=CC=C(Br)C=C1
EAr-10,FC1=CC=C(Br)C=C1
EAr-11,FC(F)(F)OC1=CC=C(Br)C=C1
EAr-12,CS(=O)(=O)C1=CC=C(Br)C=C1
EAr-13,NS(=O)(=O)C1=CC=C(Br)C=C1
EAr-14,N#CC1=CC=C(NS(=O)(=O)C2=CC=C(Br)C=C2)C=C1
EAr-15,ClC1=CC=C(Br)C=C1
EAr-16,BrC1=CC=C(Br)C=C1
EAr-17,CC1(C)OB(C2=CC=C(Br)C=C2)OC1(C)C
EAr-18,C=CC1=CC=C(Br)C=C1
EAr-19,BrC1=CC=CC=C1
EAr-20,CC(C)(C)C1=CC=C(Br)C=C1
EAr-21,CCC(C(=O)OC)C1=CC=C(Br)C=C1
EAr-22,COC1=CC=C(Br)C=C1
EAr-23,CCSC1=CC=C(Br)C=C1
EAr-24,NC1=CC=C(Br)C=C1
EAr-25,N#CC1=CC=C(NC2=CC=C(Br)C=C2)C=C1
EAr-26,CC(=O)NC1=CC=C(Br)C=C1
EAr-27,O=C1COCCN1C1=CC=C(Br)C=C1
EAr-28,COC(=O)C1=CC=CC(Br)=C1
EAr-29,COC(=O)C1=CC(Br)=CC=C1OC
EAr-30,FC(F)(F)C1=CC=CC(Br)=C1
EAr-31,FC(F)(F)C1=CC(Br)=CC(Br)=C1
EAr-32,CC1=CC=C(C(=O)NC2=CC(Br)=CC(C(F)(F)F)=C2)C=C1Br
EAr-33,FC1=C(Br)C=CC(Br)=C1
EAr-34,ClC1=CC(Br)=CC=C1
EAr-35,BrC1=CC(Br)=CC=C1
EAr-36,CC1=CC(Br)=CC(C)=C1
EAr-37,N#CC1=C(Br)C=CC=C1
EAr-38,CC(=O)C1=CC=CC=C1Br
EAr-39,NC(=O)C1=C(Br)C=CC=C1
EAr-40,CCOC(=O)C1=CC=CC=C1Br
EAr-41,COC(=O)C1=C(Br)C=CC(Cl)=C1
EAr-42,COC1=CC(C=O)=C(Br)C=C1
EAr-43,CC(=O)NC1=C(Br)C=CC=C1
EAr-44,CC(C)(C)OC(=O)NC1=C(Br)C=CC=C1
EAr-45,FC1=C(Br)C=CC=C1
EAr-46,ClC1=C(Br)C=CC=C1
EAr-47,CC1=CC(Br)=C(O)C=C1
EAr-48,CC1=C(Br)C=CC=C1
EAr-49,COC(=O)C1=CC(Br)=C(C)C=C1
EAr-50,CC1=C(Br)C=CC(N)=C1
EAr-51,ClC1=C(Cl)C=C(Br)C(Cl)=C1
EAr-52,COC(=O)CC1=C(Br)C=CC=C1
EAr-53,CC1=C(Cl)C=CC=C1Br
EAr-54,N#CC1=CC=C(N)C(Br)=C1
EAr-55,OCCC1=C(Br)C=CC=C1
EAr-56-a,NCCC1=C(Br)C=CC=C1
EAr-56-b,COC1=CC(C)=C(Br)C=C1
EAr-57,CCC1=C(Br)C=CC=C1
EAr-58,N#CCC1=C(Br)C=CC=C1
EAr-59,N#CCC1=C(Br)C=C(C(F)(F)F)C=C1
EAr-60,N#CCC1=C(Br)C=CC(C(F)(F)F)=C1
EAr-61,OCC1=C(Br)C=CC=C1
EAr-62-a,COC1=C(Br)C=CC=C1
EAr-62-b,COC1=CC(OC)=C(Br)C=C1
EAr-63,COC1=C(OC)C(OC)=C(Br)C=C1
EAr-64,BrC1=C(C2=CC=CC=C2)C=CC=C1
EAr-65,BrC1=C(N2C3=CC=CC=C3C3=CC=CC=C32)C=CC=C1
EAr-66,FC1=C(Br)C(F)=CC=C1
EAr-67,CC1=CC(C)=C(Br)C(C)=C1
EAr-68,FC(F)(F)C1=CC=CC(C(F)(F)F)=C1Br
EAr-69,COC1=CC=CC(OC)=C1Br
EAr-70,CC(C)C1=CC=CC(C(C)C)=C1Br
EAr-71,CC1=CC=C2C=CC=CC2=C1Br
EAr-72,BrC1=C2C=CC=CC2=C2C=CC=CC2=C1
EAr-73,BrC1=C2C=CC=NC2=CC=C1
EAr-74,CCOC(=O)C1=CC2=C(C=CC(Br)=C2)N1C(=O)OC(C)(C)C
EAr-75,BrC1=CC2=C(C=C1)NC=C2
EAr-76,CC(=O)N1C=CC2=C1C=CC(Br)=C2
EAr-77,CCOC(=O)CCS/C=C/C1=CC=C(Br)C=C1
EHet-1,BrC1=CC=CN=C1
EHet-2,ClC1=NC=C(Br)C=C1
EHet-3,BrC1=CN=C(C2OCCO2)C=C1
EHet-4,ClC1=NC=C(Br)C=C1
EHet-5,BrC1=NC=CC=C1
EHet-6,BrC1=CC=NC=C1
EHet-7,CC1=CC=CN=C1Br
EHet-8,FC(F)(F)C1=CC=C2C(Br)=CC=NC2=C1
EHet-9,ClC1=CC=C2C(Br)=CC=NC2=C1
EHet-10,BrC1=CC2=CC=CC=C2N=C1
EHet-11,ClC1=C2N=C(Br)C=CC2=CC=C1
EHet-12,BrC1=CC=NC2=C1C=CN2
EHet-13,BrC1=CN=CN=C1
EHet-14,BrC1=CN=CC=N1
EHet-15,BrC1=CC=CO1
EHet-16,O=CC1=CC=C(Br)O1
EHet-17,BrC1=COC=C1
EHet-18,BrC1=CC=CS1
EHet-19,BrC1=CC=C(Br)S1
EHet-20,BrC1=CSC=C1
EHet-21,BrC1=NOC=C1
EHet-22,BrC1=NC=CS1
EHet-23,BrC1=CN=CS1
EHet-24,BrC1=CSC2=CC=CC=C12
EHet-25,BrC1=NC2=CC=CC=C2S1
EAr-Cl-1,N#CC1=CC=C(Cl)C=C1
EAr-Cl-2,FC(F)(F)C1=CC=C(Cl)C=C1
EAr-Cl-3,CC(C)OC(=O)C(C)(C)OC1=CC=C(C(=O)C2=CC=C(Cl)C=C2)C=C1
EAr-Cl-4,COC(=O)CC1=C(C)N(C(=O)C2=CC=C(Cl)C=C2)C2=CC=C(OC)C=C12
EAr-Cl-5,COC(=O)C(C)(C)OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1
EAr-Cl-6,CC1=C(C(=O)NC2=CC(C)=C(C(=O)N3CCCC(O)C4=CC(Cl)=CC=C43)C=C2)C=CC=C1
EAr-Cl-7,CCOC(=O)N1CCC(=C2C3=C(C=C(Cl)C=C3)CCC3=CC=CN=C23)CC1
